"Story","Title","Result","Date","Stability","Duration (s)"
"Login en Sauce Demo","Login exitoso en Sauce Demo","SUCCESS","2025-06-06T22:52:29.7925788-05:00[America/Bogota]","0.0","3.97"
"Login en Sauce Demo","Login fallido con credenciales inválidas","SUCCESS","2025-06-06T22:52:33.9421809-05:00[America/Bogota]","0.0","2.45"
